  grantor  |  grantee  | table_catalog | table_schema |                 table_name                 | privilege_type | is_grantable | with_hierarchy 
 postgres  | pngie_app | pngie_rdc     | public       | delegation_pouvoir                         | REFERENCES     | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | delegation_pouvoir                         | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | document                                   | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | document                                   | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | document                                   | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | document                                   | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | document_version                           | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | document_version                           | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | document_version                           | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | document_version                           | DELETE         | NO           | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_administratif                      | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_administratif                      | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_administratif                      | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_administratif                      | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_administratif                      | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_administratif                      | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_administratif                      | SELECT         | YES          | YES
 postgres  | pngie_app | pngie_rdc     | public       | dossier_agent_rh                           | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | dossier_agent_rh                           | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | dossier_agent_rh                           | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | dossier_agent_rh                           | UPDATE         | NO           | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_entreprise                         | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_entreprise                         | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_entreprise                         | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_entreprise                         | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_entreprise                         | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_entreprise                         | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_entreprise                         | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_judiciaire                         | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_judiciaire                         | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_judiciaire                         | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_judiciaire                         | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_judiciaire                         | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_judiciaire                         | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_judiciaire                         | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_logistique_defense                 | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_logistique_defense                 | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_logistique_defense                 | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_logistique_defense                 | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_logistique_defense                 | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_logistique_defense                 | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_logistique_defense                 | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_projet_investissement              | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_projet_investissement              | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_projet_investissement              | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_projet_investissement              | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_projet_investissement              | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_projet_investissement              | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_projet_investissement              | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_recouvrement                       | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_recouvrement                       | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_recouvrement                       | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_recouvrement                       | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_recouvrement                       | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_recouvrement                       | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_recouvrement                       | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_scolaire                           | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_scolaire                           | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_scolaire                           | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_scolaire                           | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_scolaire                           | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_scolaire                           | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | dossier_scolaire                           | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | ecriture_comptable                         | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | ecriture_comptable                         | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | ecriture_comptable                         | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | ecriture_comptable                         | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | ecriture_comptable                         | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | ecriture_comptable                         | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | ecriture_comptable                         | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | enquete_statistique                        | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | enquete_statistique                        | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | enquete_statistique                        | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | enquete_statistique                        | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | enquete_statistique                        | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | enquete_statistique                        | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | enquete_statistique                        | REFERENCES     | YES          | NO
 postgres  | pngie_app | pngie_rdc     | public       | entity_event                               | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | entity_event                               | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | entity_event                               | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | entity_event                               | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | entity_relation                            | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | entity_relation                            | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | entity_relation                            | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | entity_relation                            | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | entity_scope                               | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | entity_scope                               | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | entity_scope                               | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | entity_scope                               | DELETE         | NO           | NO
 pngie_app | pngie_app | pngie_rdc     | public       | etude_impact_environnemental               | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | etude_impact_environnemental               | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | etude_impact_environnemental               | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | etude_impact_environnemental               | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | etude_impact_environnemental               | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | etude_impact_environnemental               | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | etude_impact_environnemental               | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | execution_rapport                          | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | execution_rapport                          | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | execution_rapport                          | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | execution_rapport                          | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | execution_rapport                          | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | execution_rapport                          | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | execution_rapport                          | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | exploitation_agricole                      | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | exploitation_agricole                      | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | exploitation_agricole                      | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | exploitation_agricole                      | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | exploitation_agricole                      | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | exploitation_agricole                      | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | exploitation_agricole                      | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | facture                                    | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | facture                                    | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | facture                                    | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | facture                                    | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | facture                                    | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | facture                                    | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | facture                                    | INSERT         | YES          | NO
