 table_schema |                 table_name                 |                          privileges                           
 public       | ref_cour_appel_historique                  | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | ref_execution_decision                     | DELETE, INSERT, SELECT, UPDATE
 public       | ref_execution_historique                   | DELETE, INSERT, SELECT, UPDATE
 public       | ref_gouvernorat                            | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | ref_greffe                                 | DELETE, INSERT, SELECT, UPDATE
 public       | ref_greffe_historique                      | DELETE, INSERT, SELECT, UPDATE
 public       | ref_juridiction_militaire                  | DELETE, INSERT, SELECT, UPDATE
 public       | ref_juridiction_militaire_historique       | DELETE, INSERT, SELECT, UPDATE
 public       | ref_parquet                                | DELETE, INSERT, SELECT, UPDATE
 public       | ref_parquet_historique                     | DELETE, INSERT, SELECT, UPDATE
 public       | ref_tgi_historique                         | DELETE, INSERT, SELECT, UPDATE
 public       | ref_tribunal_commerce                      | DELETE, INSERT, SELECT, UPDATE
 public       | ref_tribunal_commerce_historique           | DELETE, INSERT, SELECT, UPDATE
 public       | ref_tribunal_enfants                       | DELETE, INSERT, SELECT, UPDATE
 public       | ref_tribunal_enfants_historique            | DELETE, INSERT, SELECT, UPDATE
 public       | ref_tribunal_grande_instance               | DELETE, INSERT, SELECT, UPDATE
 public       | ref_tribunal_militaire_garnison            | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | ref_tribunal_militaire_garnison_historique | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | ref_tribunal_paix                          | DELETE, INSERT, SELECT, UPDATE
 public       | ref_tribunal_paix_historique               | DELETE, INSERT, SELECT, UPDATE
 public       | ref_tribunal_travail                       | DELETE, INSERT, SELECT, UPDATE
 public       | ref_tribunal_travail_historique            | DELETE, INSERT, SELECT, UPDATE
 public       | referentiel_arborescence                   | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | referentiel_national                       | DELETE, INSERT, SELECT, UPDATE
 public       | referentiel_national_item                  | DELETE, INSERT, SELECT, UPDATE
 public       | referentiel_national_section               | DELETE, INSERT, SELECT, UPDATE
 public       | referentiel_niveau_national                | DELETE, INSERT, SELECT, UPDATE
 public       | referentiel_poste_type                     | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | relation_interinstitutionnelle             | DELETE, INSERT, SELECT, UPDATE
 public       | relation_type                              | DELETE, INSERT, SELECT, UPDATE
 public       | relations                                  | DELETE, INSERT, SELECT, UPDATE
 public       | reorganisation_organisationnelle           | DELETE, INSERT, SELECT, UPDATE
 public       | rni_lien_hierarchique                      | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | rnsj_modification                          | DELETE, INSERT, SELECT, UPDATE
 public       | rnsj_relation                              | DELETE, INSERT, SELECT, UPDATE
 public       | rnsj_texte                                 | DELETE, INSERT, SELECT, UPDATE
 public       | rnsj_texte_historique                      | DELETE, INSERT, SELECT, UPDATE
 public       | rnso_affectation                           | DELETE, INSERT, SELECT, UPDATE
 public       | rnso_fonction                              | DELETE, INSERT, SELECT, UPDATE
 public       | rnso_hierarchie                            | DELETE, INSERT, SELECT, UPDATE
 public       | rnso_historique                            | DELETE, INSERT, SELECT, UPDATE
 public       | rnso_modele                                | DELETE, INSERT, SELECT, UPDATE
 public       | rnso_modele_historique                     | DELETE, INSERT, SELECT, UPDATE
 public       | rnso_modele_poste                          | DELETE, INSERT, SELECT, UPDATE
 public       | rnso_modele_unite                          | DELETE, INSERT, SELECT, UPDATE
 public       | rnso_poste                                 | DELETE, INSERT, SELECT, UPDATE
 public       | rnso_regle                                 | DELETE, INSERT, SELECT, UPDATE
 public       | rnso_structure                             | DELETE, INSERT, SELECT, UPDATE
 public       | rnso_type_poste                            | DELETE, INSERT, SELECT, UPDATE
 public       | rnso_type_structure                        | DELETE, INSERT, SELECT, UPDATE
